validation_fold,well,split,cut_idx,selected_method,selected_reason,router_rmse,baseline_rmse,delta_rmse_vs_baseline,eval_rows
0,000d7d20,native_prefix,1442,last_value,fallback_last_value,7.454442102844319,7.454442102844319,0.0,3836
0,000d7d20,frac_0.50,2639,last_value,fallback_last_value,4.533036013345726,4.533036013345726,0.0,2639
0,02e7fe5a,native_prefix,1780,last_value,fallback_last_value,8.414429717261077,8.414429717261077,0.0,5108
0,02e7fe5a,frac_0.50,3444,last_value,fallback_last_value,5.921456746443442,5.921456746443442,0.0,3444
0,06df5958,native_prefix,1530,last_value,fallback_last_value,3.0884860085517194,3.0884860085517194,0.0,3509
0,06df5958,frac_0.50,2520,last_value,fallback_last_value,3.3513006072599607,3.3513006072599607,0.0,2519
0,08fecf00,native_prefix,1831,last_value,fallback_last_value,4.759806836739511,4.759806836739511,0.0,5574
0,08fecf00,frac_0.50,3702,last_value,fallback_last_value,7.866219317194333,7.866219317194333,0.0,3703
0,0bbf5e67,native_prefix,1733,last_value,fallback_last_value,18.377119492009776,18.377119492009776,0.0,4298
0,0bbf5e67,frac_0.50,3016,last_value,fallback_last_value,6.366312568621724,6.366312568621724,0.0,3015
0,122bd617,native_prefix,1838,last_value,fallback_last_value,11.670160284769418,11.670160284769418,0.0,4570
0,122bd617,frac_0.50,3204,last_value,fallback_last_value,18.41236980735076,18.41236980735076,0.0,3204
0,12f0cd90,native_prefix,1484,last_value,fallback_last_value,7.895034499573364,7.895034499573364,0.0,5947
0,12f0cd90,frac_0.50,3716,last_value,fallback_last_value,10.123653271351724,10.123653271351724,0.0,3715
0,13f598d9,native_prefix,1628,last_value,fallback_last_value,15.16858992587756,15.16858992587756,0.0,7306
0,13f598d9,frac_0.50,4467,last_value,fallback_last_value,7.809083673632939,7.809083673632939,0.0,4467
0,14fee784,native_prefix,1496,last_value,fallback_last_value,21.419815878785553,21.419815878785553,0.0,4910
0,14fee784,frac_0.50,3203,last_value,fallback_last_value,22.71942411863161,22.71942411863161,0.0,3203
0,155887bb,native_prefix,1477,last_value,fallback_last_value,11.793313793912793,11.793313793912793,0.0,5585
0,155887bb,frac_0.50,3531,last_value,fallback_last_value,5.271516986020545,5.271516986020545,0.0,3531
0,1590af81,native_prefix,1432,last_value,fallback_last_value,5.560887269871239,5.560887269871239,0.0,3799
0,1590af81,frac_0.50,2616,last_value,fallback_last_value,8.372758444923743,8.372758444923743,0.0,2615
0,16e4a047,native_prefix,1553,last_value,fallback_last_value,10.715407020528387,10.715407020528387,0.0,4131
0,16e4a047,frac_0.50,2842,last_value,fallback_last_value,1.9979088381467276,1.9979088381467276,0.0,2842
0,1944513c,native_prefix,1877,last_value,fallback_last_value,5.738736995920461,5.738736995920461,0.0,4722
0,1944513c,frac_0.50,3300,last_value,fallback_last_value,11.1621066658491,11.1621066658491,0.0,3299
0,19871e7f,native_prefix,1859,last_value,fallback_last_value,5.353880109906093,5.353880109906093,0.0,5293
0,19871e7f,frac_0.50,3576,last_value,fallback_last_value,8.246944419233172,8.246944419233172,0.0,3576
0,1a68190b,native_prefix,2028,last_value,fallback_last_value,16.431826147748733,16.431826147748733,0.0,4474
0,1a68190b,frac_0.50,3251,last_value,fallback_last_value,8.269702050776221,8.269702050776221,0.0,3251
0,1beca81d,native_prefix,1614,last_value,fallback_last_value,8.154769966888065,8.154769966888065,0.0,5036
0,1beca81d,frac_0.50,3325,last_value,fallback_last_value,13.303726460821434,13.303726460821434,0.0,3325
0,1d3fbf02,native_prefix,1558,last_value,fallback_last_value,5.906372283901897,5.906372283901897,0.0,2694
0,1d3fbf02,frac_0.50,2126,last_value,fallback_last_value,6.035218171079825,6.035218171079825,0.0,2126
0,20402d71,native_prefix,1558,last_value,fallback_last_value,11.661871660575386,11.661871660575386,0.0,6372
0,20402d71,frac_0.50,3965,last_value,fallback_last_value,6.5014275297308926,6.5014275297308926,0.0,3965
0,2043abc5,native_prefix,1555,last_value,fallback_last_value,18.043675019417094,18.043675019417094,0.0,6958
0,2043abc5,frac_0.50,4256,last_value,fallback_last_value,13.744612720439479,13.744612720439479,0.0,4257
0,2364716c,native_prefix,1777,last_value,fallback_last_value,19.668009235301668,19.668009235301668,0.0,4316
0,2364716c,frac_0.50,3046,last_value,fallback_last_value,5.733830532004227,5.733830532004227,0.0,3047
0,25050f63,native_prefix,1031,last_value,fallback_last_value,37.996607342363916,37.996607342363916,0.0,6124
0,25050f63,frac_0.50,3578,last_value,fallback_last_value,10.27965790792346,10.27965790792346,0.0,3577
0,27300fd5,native_prefix,1919,last_value,fallback_last_value,17.389589831741016,17.389589831741016,0.0,5467
0,27300fd5,frac_0.50,3693,last_value,fallback_last_value,5.003689892193027,5.003689892193027,0.0,3693
0,276b012a,native_prefix,1454,last_value,fallback_last_value,27.08665184488836,27.08665184488836,0.0,4837
0,276b012a,frac_0.50,3146,last_value,fallback_last_value,23.815185191209068,23.815185191209068,0.0,3145
0,27c3155b,native_prefix,1983,last_value,fallback_last_value,18.11085336032788,18.11085336032788,0.0,4958
0,27c3155b,frac_0.50,3470,last_value,fallback_last_value,2.90515960305343,2.90515960305343,0.0,3471
0,28f4eda9,native_prefix,1558,last_value,fallback_last_value,12.159025419229918,12.159025419229918,0.0,5266
0,28f4eda9,frac_0.50,3412,last_value,fallback_last_value,14.689833259829928,14.689833259829928,0.0,3412
0,2b034622,native_prefix,1558,last_value,fallback_last_value,6.805621396093291,6.805621396093291,0.0,5203
0,2b034622,frac_0.50,3380,last_value,fallback_last_value,3.2904091851530244,3.2904091851530244,0.0,3381
0,2cee0cba,native_prefix,1835,last_value,fallback_last_value,10.665140786694133,10.665140786694133,0.0,5500
0,2cee0cba,frac_0.50,3668,last_value,fallback_last_value,8.551732654149774,8.551732654149774,0.0,3667
0,2d2d0c6b,native_prefix,1922,last_value,fallback_last_value,3.045945300727323,3.045945300727323,0.0,5045
0,2d2d0c6b,frac_0.50,3484,last_value,fallback_last_value,4.227064773650027,4.227064773650027,0.0,3483
0,2e43c2ea,native_prefix,1651,last_value,fallback_last_value,7.487396669090343,7.487396669090343,0.0,5698
0,2e43c2ea,frac_0.50,3674,last_value,fallback_last_value,4.651845862877584,4.651845862877584,0.0,3675
0,2f19d536,native_prefix,1656,last_value,fallback_last_value,6.535598394413745,6.535598394413745,0.0,3088
0,2f19d536,frac_0.50,2372,last_value,fallback_last_value,1.5649575715253476,1.5649575715253476,0.0,2372
0,30d75030,native_prefix,1605,last_value,fallback_last_value,17.599318669377997,17.599318669377997,0.0,3404
0,30d75030,frac_0.50,2504,last_value,fallback_last_value,20.178318662167655,20.178318662167655,0.0,2505
0,32fe84c9,native_prefix,1755,last_value,fallback_last_value,22.250821979444407,22.250821979444407,0.0,6408
0,32fe84c9,frac_0.50,4082,last_value,fallback_last_value,7.1293893928184655,7.1293893928184655,0.0,4081
0,357c12f9,native_prefix,1691,last_value,fallback_last_value,5.624420852755269,5.624420852755269,0.0,4079
0,357c12f9,frac_0.50,2885,last_value,fallback_last_value,5.864581906314943,5.864581906314943,0.0,2885
0,3690a146,native_prefix,1688,last_value,fallback_last_value,7.130156510792888,7.130156510792888,0.0,4073
0,3690a146,frac_0.50,2880,last_value,fallback_last_value,4.015115383722272,4.015115383722272,0.0,2881
0,373ef48b,native_prefix,1483,last_value,fallback_last_value,5.207191387759596,5.207191387759596,0.0,3509
0,373ef48b,frac_0.50,2496,last_value,fallback_last_value,4.646395918563823,4.646395918563823,0.0,2496
0,3aaa2b30,native_prefix,1685,last_value,fallback_last_value,17.520232328990414,17.520232328990414,0.0,4711
0,3aaa2b30,frac_0.50,3198,last_value,fallback_last_value,7.476094990715019,7.476094990715019,0.0,3198
0,3b21ea64,native_prefix,1727,last_value,fallback_last_value,8.368949948322665,8.368949948322665,0.0,7376
0,3b21ea64,frac_0.50,4552,last_value,fallback_last_value,17.980628998525905,17.980628998525905,0.0,4551
0,3bbe1f5d,native_prefix,1266,last_value,fallback_last_value,10.572803005133604,10.572803005133604,0.0,6918
0,3bbe1f5d,frac_0.50,4092,last_value,fallback_last_value,5.893152325403073,5.893152325403073,0.0,4092
0,3d96d897,native_prefix,1488,last_value,fallback_last_value,3.6092906343486293,3.6092906343486293,0.0,5659
0,3d96d897,frac_0.50,3574,last_value,fallback_last_value,3.755843053017982,3.755843053017982,0.0,3573
0,3df4b19e,native_prefix,1670,last_value,fallback_last_value,8.67249047497302,8.67249047497302,0.0,4988
0,3df4b19e,frac_0.50,3329,last_value,fallback_last_value,2.692942524688703,2.692942524688703,0.0,3329
0,3ef6372a,native_prefix,1939,last_value,fallback_last_value,6.229379944022544,6.229379944022544,0.0,4727
0,3ef6372a,frac_0.50,3333,last_value,fallback_last_value,10.084122322360178,10.084122322360178,0.0,3333
0,42669188,native_prefix,1798,last_value,fallback_last_value,23.030677799344762,23.030677799344762,0.0,4282
0,42669188,frac_0.50,3040,last_value,fallback_last_value,6.659779154608589,6.659779154608589,0.0,3040
0,43b06c70,native_prefix,1744,last_value,fallback_last_value,8.769342298126745,8.769342298126745,0.0,4846
0,43b06c70,frac_0.50,3295,last_value,fallback_last_value,9.584664586475117,9.584664586475117,0.0,3295
0,4463446c,native_prefix,1473,last_value,fallback_last_value,18.86029305975226,18.86029305975226,0.0,3256
0,4463446c,frac_0.50,2364,last_value,fallback_last_value,17.883583795953015,17.883583795953015,0.0,2365
0,44a94013,native_prefix,1589,last_value,fallback_last_value,23.26260921867206,23.26260921867206,0.0,4903
0,44a94013,frac_0.50,3246,last_value,fallback_last_value,12.74215735744933,12.74215735744933,0.0,3246
0,46a7190b,native_prefix,1431,last_value,fallback_last_value,13.31037471543342,13.31037471543342,0.0,4215
0,46a7190b,frac_0.50,2823,last_value,fallback_last_value,8.10827829905029,8.10827829905029,0.0,2823
0,46d24a09,native_prefix,1674,last_value,fallback_last_value,21.034427197140683,21.034427197140683,0.0,4449
0,46d24a09,frac_0.50,3062,last_value,fallback_last_value,12.98503339957587,12.98503339957587,0.0,3061
0,47ee27ab,native_prefix,1877,last_value,fallback_last_value,7.811133847911845,7.811133847911845,0.0,6397
0,47ee27ab,frac_0.50,4137,last_value,fallback_last_value,7.9123892611013,7.9123892611013,0.0,4137
0,4b831d20,native_prefix,2121,last_value,fallback_last_value,16.40332593479727,16.40332593479727,0.0,7312
0,4b831d20,frac_0.50,4716,last_value,fallback_last_value,14.890439567844181,14.890439567844181,0.0,4717
0,4fbe9c06,native_prefix,1651,last_value,fallback_last_value,12.700621635010842,12.700621635010842,0.0,6287
0,4fbe9c06,frac_0.50,3969,last_value,fallback_last_value,11.470543102125074,11.470543102125074,0.0,3969
0,504c8b08,native_prefix,1645,last_value,fallback_last_value,20.6567768266876,20.6567768266876,0.0,6367
0,504c8b08,frac_0.50,4006,last_value,fallback_last_value,5.796619915634996,5.796619915634996,0.0,4006
0,511e1db0,native_prefix,1824,last_value,fallback_last_value,2.646655635093415,2.646655635093415,0.0,3821
0,511e1db0,frac_0.50,2822,last_value,fallback_last_value,2.620550761038698,2.620550761038698,0.0,2823
0,5138a660,native_prefix,1270,last_value,fallback_last_value,5.4780109058052355,5.4780109058052355,0.0,3559
0,5138a660,frac_0.50,2414,last_value,fallback_last_value,8.850659974689618,8.850659974689618,0.0,2415
0,521a7819,native_prefix,2024,last_value,fallback_last_value,25.361861575542044,25.361861575542044,0.0,5200
0,521a7819,frac_0.50,3612,last_value,fallback_last_value,9.72007162455492,9.72007162455492,0.0,3612
0,5254b6db,native_prefix,1841,last_value,fallback_last_value,7.293881229520888,7.293881229520888,0.0,3274
0,5254b6db,frac_0.50,2558,last_value,fallback_last_value,1.990910691444102,1.990910691444102,0.0,2557
0,529e88ca,native_prefix,1836,last_value,fallback_last_value,15.265625031718603,15.265625031718603,0.0,3417
0,529e88ca,frac_0.50,2626,last_value,fallback_last_value,23.655585725376834,23.655585725376834,0.0,2627
0,5397ceb1,native_prefix,1556,last_value,fallback_last_value,9.25091584943266,9.25091584943266,0.0,5255
0,5397ceb1,frac_0.50,3406,last_value,fallback_last_value,7.323332683000604,7.323332683000604,0.0,3405
0,5542c301,native_prefix,1842,last_value,fallback_last_value,5.501114137426537,5.501114137426537,0.0,3591
0,5542c301,frac_0.50,2716,last_value,fallback_last_value,6.070843752882931,6.070843752882931,0.0,2717
0,5663b2b7,native_prefix,1935,last_value,fallback_last_value,16.28409405856329,16.28409405856329,0.0,4972
0,5663b2b7,frac_0.50,3454,last_value,fallback_last_value,27.471105454062112,27.471105454062112,0.0,3453
0,593876b6,native_prefix,1524,last_value,fallback_last_value,12.278386863654298,12.278386863654298,0.0,4842
0,593876b6,frac_0.50,3183,last_value,fallback_last_value,8.327839379688893,8.327839379688893,0.0,3183
0,5aef5c6c,native_prefix,1732,last_value,fallback_last_value,10.926258823623487,10.926258823623487,0.0,3121
0,5aef5c6c,frac_0.50,2426,last_value,fallback_last_value,10.430734727086517,10.430734727086517,0.0,2427
0,5b7b6324,native_prefix,1633,last_value,fallback_last_value,17.673226229685234,17.673226229685234,0.0,6564
0,5b7b6324,frac_0.50,4098,last_value,fallback_last_value,24.481528270716193,24.481528270716193,0.0,4099
0,5bd25f59,native_prefix,1910,last_value,fallback_last_value,4.338412715856817,4.338412715856817,0.0,4210
0,5bd25f59,frac_0.50,3060,last_value,fallback_last_value,3.303870521802537,3.303870521802537,0.0,3060
0,5cdd8dbc,native_prefix,1741,last_value,fallback_last_value,17.231660513857207,17.231660513857207,0.0,4010
0,5cdd8dbc,frac_0.50,2876,last_value,fallback_last_value,20.274045441744736,20.274045441744736,0.0,2875
0,5d11dfb5,native_prefix,1748,last_value,fallback_last_value,9.758377072411292,9.758377072411292,0.0,5895
0,5d11dfb5,frac_0.50,3822,last_value,fallback_last_value,15.7554532493478,15.7554532493478,0.0,3821
0,5f4d2a52,native_prefix,1887,last_value,fallback_last_value,56.914917258531396,56.914917258531396,0.0,5225
0,5f4d2a52,frac_0.50,3556,last_value,fallback_last_value,47.74143567770045,47.74143567770045,0.0,3556
0,60e37807,native_prefix,1942,last_value,fallback_last_value,20.874268055180604,20.874268055180604,0.0,2699
0,60e37807,frac_0.50,2320,last_value,fallback_last_value,25.519206283856334,25.519206283856334,0.0,2321
0,62a6f539,native_prefix,1560,last_value,fallback_last_value,7.864940463331049,7.864940463331049,0.0,3693
0,62a6f539,frac_0.50,2626,last_value,fallback_last_value,6.941669818060016,6.941669818060016,0.0,2627
0,633774dc,native_prefix,1739,last_value,fallback_last_value,14.212429924790966,14.212429924790966,0.0,6233
0,633774dc,frac_0.50,3986,last_value,fallback_last_value,3.7694363672623186,3.7694363672623186,0.0,3986
0,6a0ff78e,native_prefix,1425,last_value,fallback_last_value,11.350827388917207,11.350827388917207,0.0,6465
0,6a0ff78e,frac_0.50,3945,last_value,fallback_last_value,8.832694022827274,8.832694022827274,0.0,3945
0,727a3a10,native_prefix,1945,last_value,fallback_last_value,12.36395803493887,12.36395803493887,0.0,4397
0,727a3a10,frac_0.50,3171,last_value,fallback_last_value,4.518556480201263,4.518556480201263,0.0,3171
0,739a914f,native_prefix,1814,last_value,fallback_last_value,13.540022100878758,13.540022100878758,0.0,5505
0,739a914f,frac_0.50,3660,last_value,fallback_last_value,19.523507266713413,19.523507266713413,0.0,3659
0,73b1447d,native_prefix,1852,last_value,fallback_last_value,13.404843871674935,13.404843871674935,0.0,5670
0,73b1447d,frac_0.50,3761,last_value,fallback_last_value,25.436610464075834,25.436610464075834,0.0,3761
0,77b0d905,native_prefix,1749,last_value,fallback_last_value,13.048365351893997,13.048365351893997,0.0,4174
0,77b0d905,frac_0.50,2962,last_value,fallback_last_value,2.4420780677023877,2.4420780677023877,0.0,2961
0,79507629,native_prefix,2018,last_value,fallback_last_value,12.57032003546627,12.57032003546627,0.0,5302
0,79507629,frac_0.50,3660,last_value,fallback_last_value,11.568109195334339,11.568109195334339,0.0,3660
0,796dbd4c,native_prefix,1821,last_value,fallback_last_value,4.867507118040292,4.867507118040292,0.0,6248
0,796dbd4c,frac_0.50,4034,last_value,fallback_last_value,7.545812034268669,7.545812034268669,0.0,4035
0,7a5660b0,native_prefix,1938,last_value,fallback_last_value,13.453411559639392,13.453411559639392,0.0,4998
0,7a5660b0,frac_0.50,3468,last_value,fallback_last_value,4.732374797351386,4.732374797351386,0.0,3468
0,7b38844c,native_prefix,1448,last_value,fallback_last_value,7.388349907150671,7.388349907150671,0.0,3749
0,7b38844c,frac_0.50,2598,last_value,fallback_last_value,4.817965317825673,4.817965317825673,0.0,2599
0,84c3b497,native_prefix,1575,last_value,fallback_last_value,18.960394713110585,18.960394713110585,0.0,5312
0,84c3b497,frac_0.50,3444,last_value,fallback_last_value,25.4089701389127,25.4089701389127,0.0,3443
0,86454a6f,native_prefix,1136,last_value,fallback_last_value,70.26338513734783,70.26338513734783,0.0,7964
0,86454a6f,frac_0.50,4550,last_value,fallback_last_value,5.626471359213297,5.626471359213297,0.0,4550
0,865033f8,native_prefix,1746,last_value,fallback_last_value,5.940308678128904,5.940308678128904,0.0,3557
0,865033f8,frac_0.50,2652,last_value,fallback_last_value,9.381416824209223,9.381416824209223,0.0,2651
0,8902c3f6,native_prefix,1574,last_value,fallback_last_value,8.832044207317482,8.832044207317482,0.0,4959
0,8902c3f6,frac_0.50,3266,last_value,fallback_last_value,13.058783381923016,13.058783381923016,0.0,3267
0,89f1085d,native_prefix,1503,last_value,fallback_last_value,27.630506752261244,27.630506752261244,0.0,5994
0,89f1085d,frac_0.50,3748,last_value,fallback_last_value,10.087932724949392,10.087932724949392,0.0,3749
0,8a3da6d1,native_prefix,1741,last_value,fallback_last_value,9.412246097229765,9.412246097229765,0.0,4593
0,8a3da6d1,frac_0.50,3167,last_value,fallback_last_value,7.83135463434553,7.83135463434553,0.0,3167
0,8bda1a11,native_prefix,1457,last_value,fallback_last_value,12.860573075338545,12.860573075338545,0.0,5981
0,8bda1a11,frac_0.50,3719,last_value,fallback_last_value,25.809705298670693,25.809705298670693,0.0,3719
