method,splits,eval_rows,weighted_rmse,mean_delta_rmse_vs_baseline,median_delta_rmse_vs_baseline,win_rate_vs_baseline,catastrophic_rate_plus5,hidden_compatible,router_eligible
gr_shift__fault_step_recent_level,1546,6330100,14.598491568598444,0.039708985227651546,0.0,0.40103492884864167,0.019404915912031046,True,False
fault_step_recent_level,1546,6330100,14.607377978275093,-0.0055368169861387895,0.0,0.11319534282018111,0.0,True,False
gr_shift__last_value,1546,6330100,14.65431815617696,0.07795464475725432,0.0,0.36739974126778785,0.012289780077619664,True,False
last_value,1546,6330100,14.684377660257308,0.0,0.0,0.0,0.0,True,True
ncc_shift__last_value,1546,6330100,14.684377660257308,0.0,0.0,0.0,0.0,True,False
typewell_particle_filter,1546,6330100,14.733583346870939,0.0778258654931594,0.0659087476446274,0.4611901681759379,0.008408796895213453,True,True
gr_shift__typewell_particle_filter,1546,6330100,14.774691896972852,0.11779742341694845,0.08390587217615009,0.4670116429495472,0.019404915912031046,True,False
piecewise_tail_slope_Z,1546,6330100,14.784569231682557,0.20427590571326484,0.2920498651334684,0.44566623544631306,0.0,True,False
piecewise_tail_slope_md,1546,6330100,14.802339595532326,0.21934849043973778,0.32147904118401316,0.44178525226390686,0.0,True,False
gr_shift__self_corr_prefix_shape,1546,6330100,14.815467288151721,0.24756326894680408,0.0,0.3719275549805951,0.04204398447606727,True,False
gr_shift__piecewise_tail_slope_Z,1546,6330100,14.850279856104848,0.35598938175528305,0.2937217996838246,0.44695989650711515,0.07373868046571798,True,False
gr_shift__piecewise_tail_slope_md,1546,6330100,14.862580151873829,0.3365683597795443,0.30596627723339287,0.44372574385511,0.06338939197930142,True,False
self_corr_prefix_shape,1546,6330100,14.903535969547178,0.2406034978187465,0.0,0.06274256144890039,0.031047865459249677,True,True
ncc_shift__recent_plateau_quantile,1546,6330100,15.346740394288075,0.47054202357362873,0.08538206378150992,0.42626131953428203,0.03234152652005175,True,False
recent_plateau_quantile,1546,6330100,15.346740394288075,0.47054202357362873,0.08538206378150992,0.42626131953428203,0.03234152652005175,True,True
gr_shift__recent_plateau_quantile,1546,6330100,15.370954387971585,0.5309330681926376,0.18435938613927627,0.44307891332470895,0.07632600258732213,True,False
damped_tail_linear_Z,1546,6330100,15.81749016885116,1.1176145782375173,0.6355496533450233,0.3984476067270375,0.19857697283311773,True,True
gr_shift__damped_tail_linear_Z,1546,6330100,15.818678878299336,1.1481150229774075,0.9044689469762943,0.3958602846054334,0.18952134540750323,True,False
gr_shift__damped_tail_linear_ASTNL,1546,6330100,15.968779175113685,1.2194327958798439,0.955243318068443,0.3945666235446313,0.1998706338939198,False,False
gr_shift__damped_tail_linear_BUDA,1546,6330100,15.97177572208729,1.222295795183599,0.9553000952378854,0.3945666235446313,0.20051746442432083,False,False
gr_shift__damped_tail_linear_ASTNU,1546,6330100,15.972628402861407,1.2226053391820726,0.9552439338975107,0.3945666235446313,0.20051746442432083,False,False
gr_shift__damped_tail_linear_EGFDU,1546,6330100,15.973462621845094,1.2232231898798682,0.9551496556754007,0.3945666235446313,0.20051746442432083,False,False
gr_shift__damped_tail_linear_EGFDL,1546,6330100,15.987648865563273,1.2233071960982322,0.9505944012503793,0.3945666235446313,0.20051746442432083,False,False
gr_shift__damped_tail_linear_ANCC,1546,6330100,16.04290879758001,1.2714713155713642,0.9869825664397931,0.39003880983182404,0.20051746442432083,False,False
damped_tail_linear_EGFDL,1546,6330100,16.063696311587126,1.2370485729811072,0.6825257222881218,0.39909443725743854,0.21539456662354464,False,False
damped_tail_linear_ASTNU,1546,6330100,16.069622484163506,1.2465274925439118,0.6955697485766417,0.39909443725743854,0.21604139715394566,False,False
damped_tail_linear_ASTNL,1546,6330100,16.06964629184772,1.2465607224849338,0.6955902460712429,0.39909443725743854,0.21604139715394566,False,False
damped_tail_linear_BUDA,1546,6330100,16.069656726787503,1.2465435296714673,0.6955418496439914,0.39909443725743854,0.21604139715394566,False,False
damped_tail_linear_EGFDU,1546,6330100,16.069692588231334,1.2465735427319669,0.6956193294063506,0.39909443725743854,0.21604139715394566,False,False
damped_tail_linear_ANCC,1546,6330100,16.124447836647423,1.2754406765404556,0.6824934459910716,0.39197930142302717,0.21604139715394566,False,False
gr_shift__damped_tail_linear_md,1546,6330100,16.133110853318822,1.423832760902461,1.1119028106523892,0.38939197930142305,0.2425614489003881,True,False
damped_tail_linear_md,1546,6330100,16.198031436167177,1.449070257437132,0.9359285101854211,0.3874514877102199,0.2677878395860285,True,False
