well,split,cut_idx,prefix_rows,eval_rows,selected_eval_method,guarded_eval_method,confidence_eval_method,confidence_detail,router_method,router_status,router_detail,holdout_cut_idx,holdout_best_rmse,holdout_baseline_rmse,holdout_margin_rmse,holdout_improvement_rmse,guarded_method,guarded_status,guarded_detail,holdout_top2_methods
000d7d20,native_prefix,1442,1442,3836,last_value,last_value,last_value,default_last_value_after_confidence_gate,last_value,ok,selected_by_prefix_holdout_rmse,1154,0.7107375863610832,0.7107375863610832,0.0,0.0,last_value,ok,holdout_selected_last_value,last_value;ncc_shift__last_value
000d7d20,frac_0.25,1320,1320,3958,fault_step_recent_level,last_value,last_value,default_last_value_after_confidence_gate,fault_step_recent_level,ok,selected_by_prefix_holdout_rmse,1056,0.5961569429728691,1.2869643634259749,0.0,0.6908074204531057,last_value,fallback,"blocked_guard;fault_step_recent_level:improvement=0.6908,family_ok=False;gr_shift__fault_step_recent_level:improvement=0.6908,family_ok=False;piecewise_tail_slope_Z:improvement=0.5932,family_ok=False",fault_step_recent_level;gr_shift__fault_step_recent_level
000d7d20,frac_0.35,1847,1847,3431,gr_shift__fault_step_recent_level,last_value,last_value,default_last_value_after_confidence_gate,gr_shift__fault_step_recent_level,ok,selected_by_prefix_holdout_rmse,1478,0.4791982253031001,1.6376252718998556,0.0,1.1584270465967554,last_value,fallback,"blocked_guard;gr_shift__fault_step_recent_level:improvement=1.1584,family_ok=False;gr_shift__last_value:improvement=1.1584,family_ok=False;damped_tail_linear_ASTNU:improvement=0.3749,family_ok=False",gr_shift__fault_step_recent_level;gr_shift__last_value
000d7d20,frac_0.50,2639,2639,2639,piecewise_tail_slope_Z,last_value,last_value,default_last_value_after_confidence_gate,piecewise_tail_slope_Z,ok,selected_by_prefix_holdout_rmse,2111,3.659450153407739,3.9945304935164643,0.005101216463674341,0.3350803401087252,last_value,fallback,"blocked_guard;piecewise_tail_slope_Z:improvement=0.3351,family_ok=False;ncc_shift__recent_plateau_quantile:improvement=0.3300,family_ok=False;recent_plateau_quantile:improvement=0.3300,family_ok=True",piecewise_tail_slope_Z;ncc_shift__recent_plateau_quantile
000d7d20,frac_0.65,3431,3431,1847,gr_shift__piecewise_tail_slope_Z,last_value,self_corr_prefix_shape,self_corr_confidence_gate;corr=0.7636,gr_shift__piecewise_tail_slope_Z,ok,selected_by_prefix_holdout_rmse,2745,1.5506415575643722,2.7623500315485616,0.049379380261317385,1.2117084739841895,last_value,fallback,"blocked_guard;gr_shift__piecewise_tail_slope_Z:improvement=1.2117,family_ok=False;gr_shift__damped_tail_linear_ANCC:improvement=1.1623,family_ok=False;gr_shift__damped_tail_linear_ASTNU:improvement=1.1623,family_ok=False",gr_shift__piecewise_tail_slope_Z;gr_shift__damped_tail_linear_ANCC
00bbac68,native_prefix,1545,1545,6014,damped_tail_linear_Z,damped_tail_linear_Z,damped_tail_linear_Z,kept_prefix_holdout_guard,damped_tail_linear_Z,ok,selected_by_prefix_holdout_rmse,1236,0.42209336828131794,1.365673370189508,0.05161286685679334,0.9435800019081901,damped_tail_linear_Z,ok,passed_guarded_holdout_gate;ranked_candidate=damped_tail_linear_Z;improvement=0.9436,damped_tail_linear_Z;piecewise_tail_slope_Z
00bbac68,frac_0.25,1890,1890,5669,gr_shift__recent_plateau_quantile,last_value,last_value,default_last_value_after_confidence_gate,gr_shift__recent_plateau_quantile,ok,selected_by_prefix_holdout_rmse,1512,3.1134476384545287,4.335102508201974,0.36406160077830707,1.2216548697474452,last_value,fallback,"blocked_guard;gr_shift__recent_plateau_quantile:improvement=1.2217,family_ok=False;gr_shift__fault_step_recent_level:improvement=0.8576,family_ok=False;gr_shift__last_value:improvement=0.8576,family_ok=False",gr_shift__recent_plateau_quantile;gr_shift__fault_step_recent_level
00bbac68,frac_0.35,2646,2646,4913,fault_step_recent_level,last_value,last_value,default_last_value_after_confidence_gate,fault_step_recent_level,ok,selected_by_prefix_holdout_rmse,2117,0.5746831131408106,0.5746831131408106,0.0,0.0,last_value,fallback,"blocked_guard;fault_step_recent_level:improvement=0.0000,family_ok=False;gr_shift__fault_step_recent_level:improvement=0.0000,family_ok=False;gr_shift__last_value:improvement=0.0000,family_ok=False",fault_step_recent_level;gr_shift__fault_step_recent_level
00bbac68,frac_0.50,3780,3780,3779,fault_step_recent_level,last_value,last_value,default_last_value_after_confidence_gate,fault_step_recent_level,ok,selected_by_prefix_holdout_rmse,3024,8.190545435061411,8.190545435061411,0.0,0.0,last_value,fallback,"blocked_guard;fault_step_recent_level:improvement=0.0000,family_ok=False;ncc_shift__last_value:improvement=0.0000,family_ok=False;self_corr_prefix_shape:improvement=0.0000,family_ok=True",fault_step_recent_level;last_value
00bbac68,frac_0.65,4913,4913,2646,gr_shift__piecewise_tail_slope_md,last_value,last_value,default_last_value_after_confidence_gate,gr_shift__piecewise_tail_slope_md,ok,selected_by_prefix_holdout_rmse,3930,3.4475852506185265,5.376820943530907,0.2428913886440629,1.9292356929123806,last_value,fallback,"blocked_guard;gr_shift__piecewise_tail_slope_md:improvement=1.9292,family_ok=False;gr_shift__damped_tail_linear_md:improvement=1.6863,family_ok=False;gr_shift__piecewise_tail_slope_Z:improvement=1.5061,family_ok=False",gr_shift__piecewise_tail_slope_md;gr_shift__damped_tail_linear_md
00e12e8b,native_prefix,2083,2083,4301,gr_shift__fault_step_recent_level,last_value,last_value,default_last_value_after_confidence_gate,gr_shift__fault_step_recent_level,ok,selected_by_prefix_holdout_rmse,1666,2.650298111093514,6.162224831025128,0.0,3.5119267199316138,last_value,fallback,"blocked_guard;gr_shift__fault_step_recent_level:improvement=3.5119,family_ok=False;gr_shift__last_value:improvement=3.5119,family_ok=False;gr_shift__piecewise_tail_slope_md:improvement=2.0737,family_ok=False",gr_shift__fault_step_recent_level;gr_shift__last_value
