planned_slot,candidate_id,family,path,well,rows,changed_rows,changed_frac,rmse_diff,mae_diff,median_abs_diff,p95_abs_diff,max_abs_diff,mean_signed_diff,contribution_frac,row_idx_min,row_idx_max
1,rogii_baidalin_7_201_preflight_codex_v1_sp45_projection_submission,projection_branch,artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/sp45_projection_submission.csv,00bbac68,6014,6014,1.0,1.3019044423040194,0.9848502352331651,0.6859024537743608,2.596674409610749,4.76803665847001,0.32311887417882296,0.3385641967602046,1545,7558
1,rogii_baidalin_7_201_preflight_codex_v1_sp45_projection_submission,projection_branch,artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/sp45_projection_submission.csv,000d7d20,3836,3836,1.0,1.6231218530217344,1.0791597116115899,0.7193114250449071,3.2948872620759175,7.813086002282944,0.6049001487964888,0.33566049934754744,1442,5277
1,rogii_baidalin_7_201_preflight_codex_v1_sp45_projection_submission,projection_branch,artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/sp45_projection_submission.csv,00e12e8b,4301,4301,1.0,1.510131143211262,1.2254059685024912,0.9671263984164398,3.0614366587124096,4.046496364358973,-0.5077749241809232,0.325775303892248,2083,6383
2,rogii_baidalin_7_201_preflight_codex_v1_submission_sp45_fleongg_w0_50,projection_learned_blend,artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_sp45_fleongg_w0.50.csv,00bbac68,6014,6014,1.0,2.4602855789404194,1.808963995768732,1.1313313339442175,5.532734675360097,6.074452568258494,0.8978349397297234,0.4376174873320709,1545,7558
2,rogii_baidalin_7_201_preflight_codex_v1_submission_sp45_fleongg_w0_50,projection_learned_blend,artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_sp45_fleongg_w0.50.csv,00e12e8b,4301,4301,1.0,2.8084616327699474,2.2004549515670875,1.8872129215578752,5.349424383837686,6.683314715639426,0.3829311818714015,0.4078182300762542,2083,6383
2,rogii_baidalin_7_201_preflight_codex_v1_submission_sp45_fleongg_w0_50,projection_learned_blend,artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_sp45_fleongg_w0.50.csv,000d7d20,3836,3836,1.0,1.8307758322297387,1.3608963876646614,0.9086883681329709,3.886643134053884,5.250570845795664,1.149086036369776,0.15456428259167487,1442,5277
3,sp45_projection_slot1_codex_v1_submission_sp45_fleongg_w0_55,projection_learned_blend,artifacts/sp45_projection_slot1_codex_v1/submission_sp45_fleongg_w0.55.csv,00bbac68,6014,6014,1.0,3.2999400240230474,2.376033270922248,1.335054591359949,7.399825993669947,7.827402045510098,1.6111334113684053,0.6182459685903025,1545,7558
3,sp45_projection_slot1_codex_v1_submission_sp45_fleongg_w0_55,projection_learned_blend,artifacts/sp45_projection_slot1_codex_v1/submission_sp45_fleongg_w0.55.csv,00e12e8b,4301,4301,1.0,2.566813419273134,2.039522850724315,1.6664281861412746,4.870125527220807,5.991937973643871,0.18507752340977107,0.2675123402889918,2083,6383
3,sp45_projection_slot1_codex_v1_submission_sp45_fleongg_w0_55,projection_learned_blend,artifacts/sp45_projection_slot1_codex_v1/submission_sp45_fleongg_w0.55.csv,000d7d20,3836,3836,1.0,1.7761519805545611,1.2583715528665578,0.6743719766736831,4.0310776205560614,5.097830180282472,1.0488135193468158,0.11424169112070566,1442,5277
4,sp45_projection_slot1_codex_v1_submission_sp45_fleongg_w0_60,projection_learned_blend,artifacts/sp45_projection_slot1_codex_v1/submission_sp45_fleongg_w0.60.csv,00bbac68,6014,6014,1.0,3.2533421435209964,2.337021158369751,1.2159143823482736,7.181337343737414,7.586902859562542,1.6389507027128263,0.6384778855050665,1545,7558
4,sp45_projection_slot1_codex_v1_submission_sp45_fleongg_w0_60,projection_learned_blend,artifacts/sp45_projection_slot1_codex_v1/submission_sp45_fleongg_w0.60.csv,00e12e8b,4301,4301,1.0,2.3917122705789735,1.9098750461141603,1.6301704828074435,4.481675278015246,5.544040536306056,0.08624352986189021,0.24678017255488421,2083,6383
4,sp45_projection_slot1_codex_v1_submission_sp45_fleongg_w0_60,projection_learned_blend,artifacts/sp45_projection_slot1_codex_v1/submission_sp45_fleongg_w0.60.csv,000d7d20,3836,3836,1.0,1.7268726839955801,1.2058329225352595,0.6337409669386034,4.009235854234248,4.93066659140095,0.9809576268226707,0.11474194194004927,1442,5277
5,plateau_recent_quantile_v1_submission,plateau_signal,artifacts/plateau_recent_quantile_v1/submission.csv,00e12e8b,4301,4301,1.0,8.565850233107199,6.96003849938166,5.311406641603753,15.518593358396174,15.928593358396029,-3.338405030101003,1.0000000000000002,2083,6383
5,plateau_recent_quantile_v1_submission,plateau_signal,artifacts/plateau_recent_quantile_v1/submission.csv,000d7d20,3836,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442,5277
5,plateau_recent_quantile_v1_submission,plateau_signal,artifacts/plateau_recent_quantile_v1/submission.csv,00bbac68,6014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545,7558
